level,category,rule,sentiment,updated_at
3,Transport,"Public rail, minibus taxi and bus services will resume, subject to restrictions on capacity and times",1,1589195979
3,Transport,"E-hailing services subject to restrictions on capacity and times; and for permitted activities only",1,1589195979
3,Transport,"Transport and logistics in respect of specified cargo, and permitted retail goods to neighbouring countries, which shall include all goods imported via SA ports of entry, for re-export to neighbouring countries",1,1589195979
3,Transport,"Ocean and air transport permitted only for the shipment of cargo",1,1589195979
3,Transport,"Essential imported goods will be prioritised through ports of entry and for transport and handling to final users. Directions will be issued in respect of other goods.",1,1589195979
3,Transport,"Social distancing when using public and private transport, as per transport guidelines",1,1589195979
3,Transport,"Mandatory use of cloth masks (including home-made ones to cover nose and mouth) and ensure hand hygiene when in public",1,1589195979
4,Transport,"No passenger air travel (Domestic & International) except under exceptional circumstances",0,1589195979
4,Transport,"No travelling between provinces except under exceptional circumstances",0,1589195979
4,Transport,"Public rail, minibus taxi and bus services will resume, subject to restrictions on capacity and times",1,1589195979
4,Transport,"E-hailing services subject to restrictions on capacity and times; and for permitted activities only",1,1589195979
4,Transport,"Transport and logistics in respect of specified cargo, and permitted retail goods to neighbouring countries, which shall include all goods imported via SA ports of entry, for re-export to neighbouring countries",1,1589195979
4,Transport,"Ocean and air transport permitted only for the shipment of cargo",1,1589195979
4,Transport,"Essential imported goods will be prioritised through ports of entry and for transport and handling to final users. Directions will be issued in respect of other goods.",1,1589195979
4,Transport,"Social distancing when using public and private transport, as per transport guidelines",1,1589195979
4,Transport,"Mandatory use of cloth masks (including home-made ones to cover nose and mouth) and ensure hand hygiene when in public",1,1589195979
5,Transport,"No passenger air travel (Domestic & International) except under exceptional circumstances",0,1589195979
5,Transport,"No travelling between provinces except under exceptional circumstances",0,1589195979
5,Transport,"Taxis, buses, e-hailing services (subject to restricted capacity, times and for allowed activities only)",1,1589195979
5,Transport,"Rail, ocean and air transport allowed only for shipment of cargo",1,1589195979
5,Transport,"Transport and logistics in respect of specific cargo, and permitted retail goods to neighbouring countries, including all goods imported via SA ports of entry, for re-export to neighbouring countries",1,1589195979
5,Transport,"Social distancing when using public and private transport, as per transport guidelines",1,1589195979
5,Transport,"Mandatory use of cloth masks (including home-made ones to cover nose and mouth) and ensure hand hygiene when in public",1,1589195979
1,Retail,"All retail allowed, subject to directions",1,1589195979
2,Retail,"All retail allowed, subject to directions",1,1589195979
3,Retail,"Any food product, including non-alcoholic beverages and animal food",1,1589195979
3,Retail,"Toilet Paper, sanitary pads, sanitary tampons, condoms",1,1589195979
3,Retail,"Hand sanitiser, disinfectants, soap, alcohol for industrial use, household cleaning products, and personal protective equipment",1,1589195979
3,Retail,"Products for the care of babies and toddlers",1,1589195979
3,Retail,"Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195979
3,Retail,"Medical and Hospital Supplies, medicine, equipment and personal protective equipment",1,1589195979
3,Retail,"Fuel, including coal, wood, paraffin and gas",1,1589195979
3,Retail,"Airtime and electricity",1,1589195979
3,Retail,"Hardware, components and supplies for sale to the general public",1,1589195979
3,Retail,"Stationery and all books",1,1589195979
3,Retail,"Components for vehicles undergoing emergency repairs where such vehicle is used by a person engaged in essential services work",1,1589195979
3,Retail,"Chemicals, packaging and ancillary products used in the production of any these products",1,1589195979
3,Retail,"All household appliances (including fridges, washing machines, dishwasher, irons etc.)",1,1589195979
3,Retail,"All clothing, home textiles and footwear",1,1589195979
3,Retail,"Tobacco products",1,1589195979
3,Retail,"Motor vehicles sales, subject to directions",1,1589195979
3,Retail,"Personal ICT equipment including computers, mobile telephones and other home office equipment",1,1589195979
3,Retail,"Off-premises consumption of alcohol, subject to limited hours and subject to an approved industry plan on social distance and quantitative restrictions. No consumption on premises",1,1589195979
4,Retail,"No sale of liquor allowed",0,1589195979
4,Retail,"No sale of tobacco products allowed",0,1589195979
4,Retail,"Any food product, including non-alcoholic beverages and animal food",1,1589195979
4,Retail,"The sale of hot cooked food, only for home delivery",1,1589195979
4,Retail,"Toilet Paper, sanitary pads, sanitary tampons, condoms",1,1589195979
4,Retail,"Hand sanitiser, disinfectants, soap, alcohol for industrial use, household cleaning products, and personal protective equipment",1,1589195979
4,Retail,"Products for the care of babies and toddlers",1,1589195979
4,Retail,"Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195979
4,Retail,"Medical and Hospital Supplies, medicine, equipment and personal protective equipment",1,1589195979
4,Retail,"Fuel, including coal, wood, paraffin and gas",1,1589195979
4,Retail,"Airtime and electricity",1,1589195979
4,Retail,"Hardware, components and supplies required solely for the purpose of emergency repairs at residential homes or for any project related to the provision of water, electricity or other essential services",1,1589195979
4,Retail,"Components for vehicles undergoing emergency repairs where such vehicle is used by a person engaged in essential services work",1,1589195979
4,Retail,"Chemicals, packaging and ancillary products used in the production of any these products",1,1589195979
4,Retail,"Textiles required to produce face masks, and other personal protective equipment",1,1589195979
4,Retail,"Children’s clothing",1,1589195979
4,Retail,"Stationery and educational books",1,1589195979
4,Retail,"Winter clothing bedding and heaters",1,1589195979
4,Retail,"On-line delivery of ICT equipment to facilitate work-from-home arrangements including computers, mobile telephones and other home office equipment",1,1589195979
5,Retail,"No sale of liquor allowed",0,1589195979
5,Retail,"No sale of tobacco products allowed",0,1589195979
5,Retail,"Any food product, including non-alcoholic beverages and animal food, excluding the sale of cooked hot food",1,1589195979
5,Retail,"Toilet Paper, sanitary pads, sanitary tampons, condoms",1,1589195979
5,Retail,"Hand sanitiser, disinfectants, soap, alcohol for industrial use, household cleaning products, and personal protective equipment",1,1589195979
5,Retail,"Products for the care of babies and toddlers",1,1589195979
5,Retail,"Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195979
5,Retail,"Medical and Hospital Supplies, medicine, equipment and personal protective equipment",1,1589195979
5,Retail,"Fuel, including coal, wood, paraffin and gas",1,1589195979
5,Retail,"Airtime and electricity",1,1589195979
5,Retail,"Hardware, components and supplies required by any qualified tradespersons solely for the purpose of emergency repairs at residential homes, or for any project related to the provision of water, electricity or other essential services",1,1589195979
5,Retail,"Components for vehicles undergoing emergency repairs where such vehicle is used by a person engaged in essential services work",1,1589195979
5,Retail,"Chemicals, packaging and ancillary products used in the production of any these products",1,1589195979
5,Retail,"Textiles required to produce face masks, and other personal protective equipment",1,1589195979
5,Retail,"Children’s clothing",1,1589195979
5,Retail,"Winter clothing bedding and heaters",1,1589195979
5,Retail,"On-line delivery of ICT equipment to facilitate work-from-home arrangements including computers, mobile telephones and other home office equipment",1,1589195979
1,Manufacturing,"All manufacturing scaling up towards 100% employment",1,1589195979
2,Manufacturing,"All manufacturing scaling up towards 100% employment",1,1589195979
3,Manufacturing,"Restrictions apply to manufacturing of certain products",0,1589195979
3,Manufacturing,"Manufacturing for all products (including inputs) which can be sold under Level 3 is allowed",1,1589195979
3,Manufacturing,"Manufacturers of Level 3 products (including inputs) are allowed to scale up to full employment",1,1589195979
3,Manufacturing,"Manufacture of paper and paper products, excluding stationery, can scale to full employment",1,1589195979
3,Manufacturing,"Manufacture of packaging, including glass, plastic bottles and containers, can scale to full employment",1,1589195979
3,Manufacturing,"Manufacture of winter clothing, bedding and heaters, and all inputs required, can scale to full employment",1,1589195979
3,Manufacturing,"Petroleum smelters, refineries and furnaces, can scale to full employment",1,1589195979
3,Manufacturing,"Automotive manufacturing, including components, can scale up to 100% employment",1,1589195979
3,Manufacturing,"Stationery production, can scale up in phases to 50% employment",1,1589195979
3,Manufacturing,"Cement, other construction material, and hardware, can scale up in phases to 50% employment",1,1589195979
3,Manufacturing,"Steel and other metal manufacturing, can scale up in phases to 100% employment",1,1589195979
3,Manufacturing,"Clothing, textiles and footwear, can scale up in phases to 100% employment",1,1589195979
3,Manufacturing,"Other chemicals manufacturing, can scale up in phases to 100% employment",1,1589195980
3,Manufacturing,"All other manufacturing, can scale up to 50% employment",1,1589195980
4,Manufacturing,"Restrictions apply to manufacturing of certain products",0,1589195980
4,Manufacturing,"Manufacturing for all products (including inputs) which can be sold under Level 4 is allowed",1,1589195980
4,Manufacturing,"Manufacturers of Level 4 products (including inputs) are allowed to scale up to full employment",1,1589195980
4,Manufacturing,"Manufacture of paper and paper products, excluding stationery, can scale to full employment",1,1589195980
4,Manufacturing,"Manufacture of packaging, including glass, plastic bottles and containers, can scale to full employment",1,1589195980
4,Manufacturing,"Manufacture of winter clothing, bedding and heaters, and all inputs required, can scale to 50% employment",1,1589195980
4,Manufacturing,"Petroleum smelters, refineries and furnaces, can scale to full employment",1,1589195980
4,Manufacturing,"Automotive manufacturing, including components, can scale up in phases to 50% employment",1,1589195980
4,Manufacturing,"Stationery production, can scale up in phases to 50% employment",1,1589195980
4,Manufacturing,"Cement, other construction material, and hardware, can scale up in phases to 50% employment",1,1589195980
4,Manufacturing,"All other manufacturing, can scale up to 20% employment",1,1589195980
5,Manufacturing,"Restrictions apply to manufacturing of certain products",0,1589195980
5,Manufacturing,"Manufacturing for all products (including inputs) which can be sold under Level 5 is allowed",1,1589195980
5,Manufacturing,"Manufacturers of Level 5 products (including inputs) are allowed to scale up to full employment",1,1589195980
5,Manufacturing,"Manufacture of paper and paper products, excluding stationery, can scale to full employment",1,1589195980
5,Manufacturing,"Manufacture of packaging, including glass, plastic bottles and containers, can scale to full employment",1,1589195980
5,Manufacturing,"Manufacture of winter clothing, bedding and heaters, and all inputs required, can scale to 50% employment",1,1589195980
5,Manufacturing,"Petroleum smelters, refineries and furnaces, can scale to full employment",1,1589195980
1,Mining,"All mining at 100% employment",1,1589195980
2,Mining,"Restrictions apply in terms of scaling up to full employment",0,1589195980
2,Mining,"All mining scaling up towards 100% employment",1,1589195980
3,Mining,"Restrictions apply in terms of scaling up to full employment",0,1589195980
3,Mining,"All mining scaling up towards 100% employment",1,1589195980
4,Mining,"Restrictions apply in terms of scaling up to full employment",1,1589195980
4,Mining,"Coal production for Eskom scaling up to full employment",1,1589195980
4,Mining,"Open-cast mining scaling up to full employment",1,1589195980
4,Mining,"All other mining starting in batches scaling up towards 50% employment",1,1589195980
5,Mining,"Restrictions apply in terms of scaling up to full employment",0,1589195980
5,Mining,"Coal production for Eskom scaling up to full employment",1,1589195980
5,Mining,"All other mining starting in batches scaling up towards 50% employment",1,1589195980
1,"Supply Chain","Restrictions apply to supply chain activity in relation to non-permitted goods",0,1589195980
1,"Supply Chain","Production, manufacturing, supply, logistics, transport, delivery, critical maintenance and repair in relation to the rendering of permitted services including components and equipment",1,1589195980
1,"Supply Chain","All workplaces or premises must have care and maintenance that is essential to the prevention of the destruction or significant impairment of working areas, plant, machinery or inventory, or to permit orderly shutdown arrangements, on such conditions as may be issued by means of directions by the relevant cabinet members",1,1589195980
2,"Supply Chain","Restrictions apply to supply chain activity in relation to non-permitted goods",0,1589195980
2,"Supply Chain","Production, manufacturing, supply, logistics, transport, delivery, critical maintenance and repair in relation to the rendering of permitted services including components and equipment",1,1589195980
2,"Supply Chain","All workplaces or premises must have care and maintenance that is essential to the prevention of the destruction or significant impairment of working areas, plant, machinery or inventory, or to permit orderly shutdown arrangements, on such conditions as may be issued by means of directions by the relevant cabinet members",1,1589195980
3,"Supply Chain","Restrictions apply to supply chain activity in relation to non-permitted goods",0,1589195980
3,"Supply Chain","Production, manufacturing, supply, logistics, transport, delivery, critical maintenance and repair in relation to the rendering of permitted services including components and equipment",1,1589195980
3,"Supply Chain","All workplaces or premises must have care and maintenance that is essential to the prevention of the destruction or significant impairment of working areas, plant, machinery or inventory, or to permit orderly shutdown arrangements, on such conditions as may be issued by means of directions by the relevant cabinet members",1,1589195980
4,"Supply Chain","Restrictions apply to supply chain activity in relation to non-permitted goods",0,1589195980
4,"Supply Chain","Production, manufacturing, supply, logistics, transport, delivery, critical maintenance and repair in relation to the rendering of permitted services including components and equipment",1,1589195980
4,"Supply Chain","All workplaces or premises must have care and maintenance that is essential to the prevention of the destruction or significant impairment of working areas, plant, machinery or inventory, or to permit orderly shutdown arrangements, on such conditions as may be issued by means of directions by the relevant cabinet members",1,1589195980
5,"Supply Chain","Restrictions apply to supply chain activity in relation to non-permitted goods",0,1589195980
5,"Supply Chain","Production, manufacturing, supply, logistics, transport, delivery, critical maintenance and repair in relation to the rendering of permitted services including components and equipment",1,1589195980
5,"Supply Chain","All workplaces or premises must have care and maintenance that is essential to the prevention of the destruction or significant impairment of working areas, plant, machinery or inventory, or to permit orderly shutdown arrangements, on such conditions as may be issued by means of directions by the relevant cabinet members",1,1589195980
1,"Real Estate","All real estate activities are allowed",1,1589195980
2,"Real Estate","All real estate activities are allowed",2,1589195980
3,"Real Estate","Residential real estate activities are not allowed",0,1589195980
3,"Real Estate","No show houses permitted",0,1589195980
3,"Real Estate","Awaiting guidelines on moving into or out of properties",0,1589195980
3,"Real Estate","Residential property viewings",0,1589195980
3,"Real Estate","Commercial real-estate activities are allowed",1,1589195980
3,"Real Estate","Virtual viewings by real estate agents with pre-recorded video footage of a property",1,1589195980
3,"Real Estate","Deeds office is open",1,1589195980
3,"Real Estate","Landlords may issue notices for eviction",1,1589195980
3,"Real Estate","Estate agents may continue to take listings, mandates, sign Offer to Purchase agreements electronically and facilitate bond applications",1,1589195980
4,"Real Estate","No show houses permitted",0,1589195980
4,"Real Estate","No moving into or out of properties",0,1589195980
4,"Real Estate","No evictions allowed",0,1589195980
4,"Real Estate","Physical property viewings",0,1589195980
4,"Real Estate","Virtual viewings by real estate agents with pre-recorded video footage of a property",1,1589195980
4,"Real Estate","Deeds office is open",1,1589195980
4,"Real Estate","Landlords may issue notices for eviction",1,1589195980
4,"Real Estate","Tenants must communicate with a landlord if the tenants ability to pay rent has been impacted by the lockdown",1,1589195980
4,"Real Estate","Tenants obligation to pay rent remains in place. No rule that a tenant will be automatically absolved",1,1589195980
4,"Real Estate","Estate agents may continue to take listings, mandates, sign Offer to Purchase agreements electronically and facilitate bond applications",1,1589195980
5,"Real Estate","Commercial and residential real estate activities are not permitted in Level 5, unless under exceptional circumstances (i.e. to support delivery of essential services)",0,1589195980
5,"Real Estate","Tenants cannot be sued, because landlords cannot issue legal processes during the lockdown. However, tenants are still obliged to pay rent",0,1589195980
1,Business,"Employees should work from home where possible",1,1589195980
1,Business,"All financial and business services allowed",1,1589195980
2,Business,"Restrictions apply to certain business activities",0,1589195980
2,Business,"Employees should work from home where possible",1,1589195980
2,Business,"Call centres, for local and all international markets, may operate subject to directions issues by the relevant cabinet members",1,1589195980
2,Business,"Essential financial services may operate subject to directions issues by the relevant cabinet member",1,1589195980
2,Business,"All real estate activities allowed",1,1589195980
2,Business,"Private security services may operate",1,1589195980
2,Business,"Implementation of payroll systems",1,1589195980
2,Business,"Rental of motor vehicles, machinery and equipment, and of personal and household goods to support other Level Two services",1,1589195980
2,Business,"Other professional services may operate only where work-from-home is not possible, and only to support other Level Two services",1,1589195980
3,Business,"Restrictions apply to certain business activities",0,1589195980
3,Business,"Employees should work from home where possible",1,1589195980
3,Business,"Call centres, for local and all international markets, may operate subject to directions issues by the relevant cabinet members",1,1589195980
3,Business,"Essential financial services may operate subject to directions issues by the relevant cabinet member",1,1589195980
3,Business,"Commercial real estate allowed",1,1589195980
3,Business,"Private security services may operate",1,1589195980
3,Business,"Implementation of payroll systems",1,1589195980
3,Business,"Rental of motor vehicles, machinery and equipment, and of personal and household goods to support other Level Three services",1,1589195980
3,Business,"Other professional services may operate only where work-from-home is not possible, and only to support other Level Three services",1,1589195980
4,Business,"Non-permitted business premises to remain closed",0,1589195980
4,Business,"Employees should work from home where possible",1,1589195980
4,Business,"Call centres, for local and all international markets, may operate subject to directions issues by the relevant cabinet members",1,1589195980
4,Business,"Essential financial services may operate subject to directions issues by the relevant cabinet member",1,1589195980
4,Business,"Private security services may operate",1,1589195980
4,Business,"Implementation of payroll systems",1,1589195980
4,Business,"Rental of motor vehicles, machinery and equipment, and of personal and household goods to support other Level Four services",1,1589195980
4,Business,"Other professional services may operate only where work-from-home is not possible, and only to support other Level Four services",1,1589195980
5,Business,"All non-essential business premises to remain closed",0,1589195980
5,Business,"Employees should work from home where possible",1,1589195980
5,Business,"Call centres, for local and international markets, may operate subject to directions issues by the relevant cabinet members",1,1589195980
5,Business,"Essential financial services may operate subject to directions issues by the relevant cabinet member",1,1589195980
5,Business,"Private security services may operate",1,1589195980
5,Business,"Implementation of payroll systems",1,1589195980
5,Business,"Rental of motor vehicles, machinery and equipment, and of personal and household goods to support other essential services",1,1589195980
5,Business,"Other professional services may operate only where work-from-home is not possible, and only to support other essential services",1,1589195980
1,Banking,"Employees should work from home where possible",1,1589195980
1,Banking,"All financial and banking services allowed",1,1589195980
2,Banking,"Restrictions apply to certain banking activities (e.g. limited branches will remain open)",0,1589195980
2,Banking,"All customers are encouraged to use digital channels wherever possible to transact",1,1589195980
2,Banking,"All essential banking services will remain open to ensure clients can continue to access financial services",1,1589195980
2,Banking,"All digital financial services are allowed to continue serving clients remotely",1,1589195980
2,Banking,"Employees should work from home where possible",1,1589195980
2,Banking,"Call centres, for local and international markets, may operate subject to directions issues by the relevant cabinet members",1,1589195980
3,Banking,"Restrictions apply to certain banking activities (e.g. limited branches will remain open)",0,1589195980
3,Banking,"All customers are encouraged to use digital channels wherever possible to transact",1,1589195980
3,Banking,"All essential banking services will remain open to ensure clients can continue to access financial services",1,1589195980
3,Banking,"All digital financial services are allowed to continue serving clients remotely",1,1589195980
3,Banking,"Employees should work from home where possible",1,1589195980
3,Banking,"Call centres, for local and international markets, may operate subject to directions issues by the relevant cabinet members",1,1589195980
4,Banking,"Restrictions apply to certain banking activities (e.g. limited branches will remain open)",0,1589195980
4,Banking,"All customers are encouraged to use digital channels wherever possible to transact",1,1589195980
4,Banking,"All essential banking services will remain open to ensure clients can continue to access financial services",1,1589195980
4,Banking,"All digital financial services are allowed to continue serving clients remotely",1,1589195980
4,Banking,"Employees should work from home where possible",1,1589195980
4,Banking,"Call centres, for local and international markets, may operate subject to directions issues by the relevant cabinet members",1,1589195980
5,Banking,"Restrictions apply to certain banking activities (e.g. limited branches will remain open)",0,1589195980
5,Banking,"All customers are encouraged to use digital channels wherever possible to transact",1,1589195980
5,Banking,"All essential banking services will remain open to ensure clients can continue to access financial services",1,1589195980
5,Banking,"All digital financial services are allowed to continue serving clients remotely",1,1589195980
5,Banking,"Employees should work from home where possible",1,1589195980
5,Banking,"Call centres, for local and international markets, may operate subject to directions issues by the relevant cabinet members",1,1589195980
1,Government,"All public adminstration and government services allowed",1,1589195980
2,Government,"All non-essential government and adminstration services are not allowed",0,1589195980
2,Government,"Disaster management services",1,1589195980
2,Government,"Licensing, permitting and deeds offices, marriage certificates, birth and death certificates, and new and replacement identification documents",1,1589195980
2,Government,"Any other service designated by the Executive Authority, HODs, Heads of Courts, and Heads of other Chapter 9 Institutions",1,1589195980
2,Government,"Essential municipal services",1,1589195980
2,Government,"Services related to the essential functioning of courts",1,1589195980
2,Government,"Essential SARS services defined by the Commissioner of SARS",1,1589195980
2,Government,"Police, peace officers, traffic officers, military medical personnel and soldiers, correctional services officials and traffic management services;",1,1589195980
2,Government,"Services rendered by the Executive, members of Parliament, Members of the Provincial Legislature, Members of Local Councils, the Judiciary, traditional leaders and National Office Bearers of Political Parties represented in Parliament",1,1589195980
2,Government,"Commissioners of the South African Human Rights Commission, Gender Commission, the Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities, the Public Protector and Deputy Public Protector and the Independent Electoral Commission",1,1589195980
3,Government,"All non-essential government and adminstration services are not allowed",0,1589195980
3,Government,"Disaster management services",1,1589195980
3,Government,"Licensing, permitting and deeds offices, marriage certificates, birth and death certificates, and replacement identification documents",1,1589195980
3,Government,"Any other service designated by the Executive Authority, HODs, Heads of Courts, and Heads of other Chapter 9 Institutions",1,1589195980
3,Government,"Essential municipal services",1,1589195980
3,Government,"Services related to the essential functioning of courts",1,1589195980
3,Government,"Essential SARS services defined by the Commissioner of SARS",1,1589195980
3,Government,"Police, peace officers, traffic officers, military medical personnel and soldiers, correctional services officials and traffic management services;",1,1589195980
3,Government,"Services rendered by the Executive, members of Parliament, Members of the Provincial Legislature, Members of Local Councils, the Judiciary, traditional leaders and National Office Bearers of Political Parties represented in Parliament",1,1589195980
3,Government,"Commissioners of the South African Human Rights Commission, Gender Commission, the Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities, the Public Protector and Deputy Public Protector and the Independent Electoral Commission",1,1589195980
4,Government,"All non-essential government and adminstration services are not allowed",0,1589195980
4,Government,"Disaster management services",1,1589195980
4,Government,"Licensing, permitting and deeds offices; birth and death certificates, replacement identification documents",1,1589195980
4,Government,"Any other service designated by the Executive Authority, HODs, Heads of Courts, and Heads of other Chapter 9 Institutions",1,1589195980
4,Government,"Essential municipal services",1,1589195980
4,Government,"Services related to the essential functioning of courts",1,1589195980
4,Government,"Essential SARS services defined by the Commissioner of SARS",1,1589195980
4,Government,"Police, peace officers, traffic officers, military medical personnel and soldiers, correctional services officials and traffic management services;",1,1589195980
4,Government,"Services rendered by the Executive, members of Parliament, Members of the Provincial Legislature, Members of Local Councils, the Judiciary, traditional leaders and National Office Bearers of Political Parties represented in Parliament",1,1589195980
4,Government,"Commissioners of the South African Human Rights Commission, Gender Commission, the Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities, the Public Protector and Deputy Public Protector and the Independent Electoral Commission",1,1589195980
5,Government,"All non-essential government and adminstration services are not allowed",0,1589195980
5,Government,"Disaster management services",1,1589195980
5,Government,"Birth and death certificates, replacement identification documents",1,1589195980
5,Government,"Essential municipal services",1,1589195980
5,Government,"Services related to the essential functioning of courts",1,1589195980
5,Government,"Essential SARS services defined by the Commissioner of SARS",1,1589195980
5,Government,"Police, peace officers, traffic officers, military medical personnel and soldiers, correctional services officials and traffic management services;",1,1589195980
5,Government,"Services rendered by the Executive, members of Parliament, Members of the Provincial Legislature, Members of Local Councils, the Judiciary, traditional leaders and National Office Bearers of Political Parties represented in Parliament",1,1589195980
5,Government,"Commissioners of the South African Human Rights Commission, Gender Commission, the Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities, the Public Protector and Deputy Public Protector and the Independent Electoral Commission",1,1589195980
1,Rental,"Rental of motor vehicles, machinery and equipment, and of personal and household goods allowed",1,1589195980
2,Rental,"Rental of items not related to Level Two services is not allowed",0,1589195980
2,Rental,"Rental of motor vehicles, machinery and equipment, and of personal and household goods to support other Level Two services",1,1589195980
3,Rental,"Rental of items not related to Level Three services is not allowed",0,1589195980
3,Rental,"Rental of motor vehicles, machinery and equipment, and of personal and household goods to support other Level Three services",1,1589195980
4,Rental,"Rental of items not related to Level Four services is not allowed",0,1589195980
4,Rental,"Rental of motor vehicles, machinery and equipment, and of personal and household goods to support other Level Four services",1,1589195980
5,Rental,"Rental of items not related to essential services is not allowed",0,1589195980
5,Rental,"Rental of motor vehicles, machinery and equipment, and of personal and household goods to support other essential services",1,1589195980
1,"Trade Union","Trade union essential staff for workers covered by Level 1, subject to directions",1,1589195980
2,"Trade Union","Trade union activites for organisations not permitted to operate during Level 2",0,1589195980
2,"Trade Union","Trade union essential staff for workers covered by Level 2, subject to directions",1,1589195980
3,"Trade Union","Trade union activites for organisations not permitted to operate during Level 3",0,1589195980
3,"Trade Union","Trade union essential staff for workers covered by Level 3, subject to directions",1,1589195980
4,"Trade Union","Trade union activites for organisations not permitted to operate during Level 4",0,1589195980
4,"Trade Union","Trade union essential staff for workers covered by Level 4, subject to directions",1,1589195980
5,"Trade Union","Trade union activites for organisations not permitted to operate during Level 5",0,1589195980
5,"Trade Union","Trade union essential staff for workers covered by Level 5, subject to directions",1,1589195980
1,DIY,"Hardware, components and supplies for sale to the general public",1,1589195980
2,DIY,"Hardware, components and supplies for sale to the general public",1,1589195980
3,DIY,"Hardware, components and supplies for sale to the general public",1,1589195980
4,DIY,"Non-emergency repairs by tradespeople e.g. plumbers, electricians, locksmiths, glaziers and roof repair workers is not allowed at residences and businesses",0,1589195980
4,DIY,"Hardware, components and supplies for sale to the general public",1,1589195980
4,DIY,"Plumbers, electricians, locksmiths, glaziers and roof repair workers are allowed to do emergency repair work at residences and businesses",1,1589195980
5,DIY,"Hardware, components and supplies for sale to the general public",0,1589195980
5,DIY,"Non-emergency repairs by tradespeople e.g. plumbers, electricians, locksmiths, glaziers and roof repair workers is not allowed at residences and businesses",0,1589195980
5,DIY,"Hardware, components and supplies for sale to qualified tradespersons only for the purpose of emergency repairs",1,1589195980
1,E-Commerce,"All E-Commerce allowed",1,1589195980
2,E-Commerce,"All E-Commerce allowed",1,1589195980
3,E-Commerce,"Home delivery of selected goods are not allowed (subject to alteration during Level Three by government)",0,1589195980
3,E-Commerce,"Home delivery of all essential goods including the following categories:",1,1589195980
3,E-Commerce,"Any food product, including non-alcoholic beverages and animal food",1,1589195980
3,E-Commerce,"Toilet Paper, sanitary pads, sanitary tampons, condoms",1,1589195980
3,E-Commerce,"Hand sanitiser, disinfectants, soap, alcohol for industrial use, household cleaning products, and personal protective equipment",1,1589195980
3,E-Commerce,"Products for the care of babies and toddlers",1,1589195980
3,E-Commerce,"Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195980
3,E-Commerce,"Medical and Hospital Supplies, medicine, equipment and personal protective equipment",1,1589195980
3,E-Commerce,"Fuel, including coal, wood, paraffin and gas",1,1589195980
3,E-Commerce,"Airtime and electricity",1,1589195980
3,E-Commerce,"Hardware, components and supplies for sale to the general public",1,1589195980
3,E-Commerce,"Stationery and all books",1,1589195980
3,E-Commerce,"Components for vehicles undergoing emergency repairs where such vehicle is used by a person engaged in essential services work",1,1589195980
3,E-Commerce,"Chemicals, packaging and ancillary products used in the production of any these products",1,1589195980
3,E-Commerce,"All household appliances",1,1589195980
3,E-Commerce,"All clothing, home textiles and footwear",1,1589195980
3,E-Commerce,"Tobacco products",1,1589195980
3,E-Commerce,"Motor vehicles sales, subject to directions",1,1589195980
3,E-Commerce,"Personal ICT equipment including computers, mobile telephones and other home office equipment",1,1589195980
3,E-Commerce,"Alcohol subject to restrictions",1,1589195980
4,E-Commerce,"Home delivery of non-essential goods are not allowed",0,1589195980
4,E-Commerce,"Home delivery of all essential goods including the following categories:",1,1589195980
4,E-Commerce,"Any food product, including non-alcoholic beverages and animal food, excluding the sale of cooked hot food",1,1589195980
4,E-Commerce,"Toilet Paper, sanitary pads, sanitary tampons, condoms",1,1589195980
4,E-Commerce,"Hand sanitiser, disinfectants, soap, alcohol for industrial use, household cleaning products, and personal protective equipment",1,1589195980
4,E-Commerce,"Products for the care of babies and toddlers",1,1589195980
4,E-Commerce,"Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195980
4,E-Commerce,"Medical and Hospital Supplies, medicine, equipment and personal protective equipment",1,1589195980
4,E-Commerce,"Fuel, including coal, wood, paraffin and gas",1,1589195980
4,E-Commerce,"Airtime and electricity",1,1589195980
4,E-Commerce,"Hardware, components and supplies required by any qualified tradespersons solely for the purpose of emergency repairs at residential homes, or for any project related to the provision of water, electricity or other essential services",1,1589195980
4,E-Commerce,"Components for vehicles undergoing emergency repairs where such vehicle is used by a person engaged in essential services work",1,1589195980
4,E-Commerce,"Chemicals, packaging and ancillary products used in the production of any these products",1,1589195980
4,E-Commerce,"Textiles required to produce face masks, and other personal protective equipment",1,1589195980
4,E-Commerce,"Children’s clothing",1,1589195980
4,E-Commerce,"Winter clothing bedding and heaters",1,1589195980
4,E-Commerce,"ICT equipment to facilitate work-from-home arrangements including computers, mobile telephones and other home office equipment",1,1589195980
5,E-Commerce,"Home delivery of non-essential goods are not allowed",0,1589195980
5,E-Commerce,"Home delivery of all essential goods including the following categories:",1,1589195980
5,E-Commerce,"Any food product, including non-alcoholic beverages and animal food, excluding the sale of cooked hot food",1,1589195980
