Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision,Is Vaccination site
Inkosi Albert Luthuli Central Hospital,30.958756,-29.8739,Central Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Mother and child services, peri -operative services, surgical services, medical services, professions allied medical support.",Large,852,,194,194,,2,19,846,,,http://www.ialch.co.za/,ZA-KZN,YES
King Edward VIII Hospital,30.989507,-29.8822,Central Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,YES,"Athritis Clinic,Clinical Psychology,Dermatology,Dietetics,Ear Throat & Nose (ENT),Emergency and Trauma Unit,Full Radiology Unit,General Medicine,General Surgery,GI Unit,Heamatology,ICU,Neonatal ICU,Maxillo Facial,Medical Physics,Laboratory Services,Obstetrics & Gynae,Occupational Therapy,Orthopaedic,Orthopaedics,Peadiatrics,Pharmacy,Physiotherapy,Psychiatric services,Social work,Special clinic services,Speech & Audio,Theatres,Urology",Large,833,,194,194,,5,11,852,,,http://www.kznhealth.gov.za/kingedwardhospital.htm,ZA-KZN,YES
Ngwelezana Hospital,31.864116,-28.7795,Tertiary Hospital,KwaZuluNatal,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,,"Allied Health Services:Blood Bank Services,Diagnostic and Imaging,Dietetics,Health Technology Services (HTS),Laboratory Services,Occupational Therapy,Optometry,Oral Health, Pharmaceutical, Psychology, Physiotherapy,Speech and Audiology,Social Worker.Medical Services:Anaesthesia, High care and Critical Care ServicesDental,Emergency and Trauma Services,ENT,Internal Medicine and Neurological services,Maxillo Facial,Ophthalmology services,Orthopaedics,Psychiatry,Radiological,Surgical Services,Urology",Medium,489,,45,50,,6,6,544,,,http://www.kznhealth.gov.za/ngwelezanahospital.htm,ZA-KZN,YES
Grey's Hospital,30.363784,-29.5796,Tertiary Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,YES,"Accident and Emergency Services,Anaesthetics and Pain Management,Clinical Psychology,Dietetics,Internal Medicine,Laboratory Services,Obstetrics and Gynaecology,Occupational Therapy,Orthopaedic and Sub-Specialties,Pharmaceutical Services,Radiology,Radiotherapy and Oncology,Social Work Services,Speech and Audiology,Surgery – General,Surgery – Subspecialty, General and Sup-Specialty clinics run by Paediatric Outpatients",Medium,507,,160,160,,13,13,530,,,http://www.kznhealth.gov.za/greyshospital.htm,ZA-KZN,
Charles James TB Hospital,30.885394,-30.017,Specialised Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Respiratory, TB related attention given",Small,220,,,,,,,220,,,http://www.kznhealth.gov.za/charlesjameshospital.htm,ZA-KZN,
Don McKenzie TB Hospital,30.739534,-29.7382,Specialised Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Respiratory, TB related attention given",Small,220,,,,,,,220,,,http://www.kznhealth.gov.za/donmckenziehospital.htm,ZA-KZN,
FOSA TB Hospital,30.968573,-29.7859,Specialised Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Respiratory, TB related attention given",Small,187,,,,,,,187,,,http://www.kznhealth.gov.za/fosahospital.htm,ZA-KZN,
St Margaret's TB MDR Hospital,29.93276,-30.2692,Specialised Hospital,KwaZuluNatal,Harry Gwala District Municipality,uMzimkhulu Local Municipality,,"Respiratory, TB related attention given",Small,80,,,,,,,54,,,http://www.kznhealth.gov.za/stmargaretshospital.htm,ZA-KZN,
Dunstan Farrell TB Hospital,30.512498,-30.5357,Specialised Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni Local Municipality,,"Respiratory, TB related attention given",Small,180,,,,,,,180,,,http://www.kznhealth.gov.za/dunstanfarrellhospital.htm,ZA-KZN,
Doris Goodwin TB Hospital,30.336538,-29.6488,Specialised Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,,"Respiratory, TB related attention given",Small,,,,,,,,100,,,http://www.kznhealth.gov.za/dorisgoodwinhospital.htm,ZA-KZN,
Richmond Chest Hospital,30.275817,-29.8645,Specialised Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Richmond Local Municipality,,"Respiratory, TB related attention given",Small,,,,,,,,180,,,http://www.kznhealth.gov.za/richmondhospital.htm,ZA-KZN,
Greytown TB Hospital,30.600049,-29.0657,Specialised Hospital,KwaZuluNatal,Umzinyathi District Municipality,Umvoti Local Municipality,,"Respiratory, TB related attention given",Small,,,,,,,,227,,,http://www.kznhealth.gov.za/greytownhospital.htm,ZA-KZN,
Mountain View Hospital,31.425381,-27.7813,District Hospital,KwaZuluNatal,Zululand District Municipality,AbaQulusi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,https://sacd.christians.co.za/CaptureOrgDisplay.aspx?oid=2867,ZA-KZN,
Siloah Lutheran Hospital,31.510095,-27.7402,District Hospital,KwaZuluNatal,Zululand District Municipality,AbaQulusi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-KZN,
Thulasizwe Hospital,31.367857,-27.9526,District Hospital,KwaZuluNatal,Zululand District Municipality,Ulundi Local Municipality,,"Clinical Services:Audiology services,HIV/AIDS counselling,MDR/XDR,Medicine,Radiology services,Tuberculosis (TB).Community Services:Case finding,Contact tracing,DOTS,EAP,Home Visits,VCT Service & Health Information Services",,,,,,,,,,,,http://www.kznhealth.gov.za/thulasizwehospital.htm,ZA-KZN,
Ekuhlengeni Sanatorium Hospital,30.902844,-30.0071,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,Services for this public hospital could not be found at the time of recording this data.,,1200,,,,,,,,,,http://www.kznhealth.gov.za/ekuhlengeni.htm,ZA-KZN,YES
Umzimkhulu Hospital,29.92602,-30.2553,District Hospital,KwaZuluNatal,Harry Gwala District Municipality,uMzimkhulu Local Municipality,,"Voluntary care uses,Assisted care uses,Involuntary care uses,Forensic services,Observation,Care to state patients,Rehabilitation services,Occupational therapy services,Physiotherapy services,Psycho geriatrics services,Services for the intellectual disabled,Psychological services :Psychotherapy,Psychometric assessmen.Social services,Counseling services.Home visits,Community outreach programme",,440,,,,,,,,,,http://www.kznhealth.gov.za/umzimkhuluhospital.htm,ZA-KZN,
Fort Napier Hospital,30.368942,-29.6138,District Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,,"Psycho-social rehabilitation,Occupational Therapy, Clinical Psychology",,,,,,,,,,,,http://www.kznhealth.gov.za/fortnapierhospital.htm,ZA-KZN,
Townhill Hospital,30.366437,-29.5874,District Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,,"Clinical Services:Child and Adolescent Psychiatric Services,Psychiatry,Psychology,Pharmacy,Occupational Therapy,Social Work,Infection Control.Tertiary Services:First episode psychosis,Dual diagnosis,Psycho, geriatric,Neuropsychiatry,Child and Adolescent unit,Community liaison and outreach,HIV and psychiatry,Northpark, psychotherapy unit and other services",,,,,,,,,,,,,ZA-KZN,
Umgeni Waterfall Hospital,30.232779,-29.5008,District Hospital,KwaZuluNatal,uMgungundlovu District Municipality,uMngeni Local Municipality,,"Clinical Psychology Services,Medical services,Nursing Services
Occupational Therapy Services,Pharmaceutical Services,Physiotherapy Services,Social Work Services, Speech Therapy Services and many other services.",,624,,,,,,,,,,http://www.kznhealth.gov.za/umgenihospital.htm,ZA-KZN,
St Francis Hospital,31.476734,-28.2246,District Hospital,KwaZuluNatal,Zululand District Municipality,Ulundi Local Municipality,,"Out Patients Services,Social Welfare Services,Rehabilitation Services for the disabled,Community Health Workers Programme,Pharmaceutical Services,Counselling Services,
Maternal Child and Women's Health,Geriatric services and chronics,Primary Health Care Services,Eye care services with the help of a nurse from Nkonjeni,Laundry services,
Decentralised Psychiatry for students from the University of Natal,Services of a Psychiatrist part time from Richards Bay - Dr. Latecki,Workshop,Mortuary",,,,,,,,,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_kwazulu_natal_south_africa/st_francis_hospital_mahlabathini_kwazulu_natal_south_africa,ZA-KZN,
Clairwood Hospital,30.956778,-29.9357,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,Specialized rehabilitation and convalescent care services,,426,,,,,,,,,,http://www.kznhealth.gov.za/clairwoodhospital.htm,ZA-KZN,YES
Hillcrest Hospital,30.761508,-29.7894,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Chronic Nursing care,Rehabilitation services (for in patients),Occupation therapy,Physiotherapy,Speech therapy,Social work,Pharmacy",,212,,,,,,,,,,http://www.kznhealth.gov.za/hillcresthospital.htm,ZA-KZN,
Madadeni Hospital,30.0508,-27.7635,District Hospital,KwaZuluNatal,Amajuba District Municipality,Newcastle Local Municipality,,"Adult (ART) services,Clinical Psychology,Dermatology,Ear, nose and throat (ENT),Echocardiogram,Family Medicine (adult),Intensive Care Unit,Internal Medicine,Male Medical Circumcision (MMC),Maxillo Facial Services,Mortuary,Operating Theatre,Peritoneal Dialysis,Social Work Services,V.C.T. Department (Voluntary Counseling and Testing)",,822,,160,160,,6,5,,,,http://www.kznhealth.gov.za/madadenihospital.htm,ZA-KZN,
Newcastle Hospital,29.935643,-27.7631,District Hospital,KwaZuluNatal,Amajuba District Municipality,Newcastle Local Municipality,,"Antenatal Care - High Risk (in-patient & out-patient),High care services - obstetrics and gynae,ICU - Obstetrics and Gynae,Labour,Post Natal Services,Prevention of Mother to Child Transmission (PMTCT),Reproductive Health Care (RHC),Specialist Clinic,Termination of Pregnancy (TOP),Waiting Mothers Lodge,Gynaecology services,Fertility clinicGynaecology (in patient surgical and non-surgical, Gynaecology out patient,Specialist clinic (Gynae),Child Health,Emergency and resus services,Kangaroo Mother Care (KMC),Neonatal care services,Paediatric ART's and TB services,Paediatric dental services, Paediatric in-patient services,Paediatric out patient services,Specialist paediatric out-patient services,Crisis Centre Services.Support Services:Dietetics Services,Pharmacy services,Physiotherapy and Occupational Therapy services,Psychology,Radiology and ultrasound services,Social services,Speech and Audiology services",,272,,0,0,,0,4,,,,http://www.kznhealth.gov.za/newcastlehospital.htm,ZA-KZN,YES
Addington Hospital,31.042291,-29.8616,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,YES,"Antenatal Clinic / Ward 8A,Antenatal/Obstetrics Clinic,Adult Prim Health Care (Gateway),Audiology services,Accident Unit (Trauma),Breast Clinic (OPDA),Beatrice Street Clinic,Cardiac Clinic (CCU),Crisis Centre,Children’s Primary H/C,Children's Outpatient Dept, Colposcopy Clinic,CT Scanner,Cystic Fibrosis Clinic,Dental Clinic,Dermatology (OPDD),Diabetic Clinic,Dietetics Department,ECG Department,Emergency Unit – Casualty,ENT Clinic,Eye Clinic,GI Unit,Gynae ClinicHaemodialysis Clinic,Medical Clinic (OPDD),Medical Reg Room,Newlands East Clinic,Nuclear Medicine,Occupational Health,Occupational Therapy,Oncology Department,Orthopaedic Clinic,Output Location,Pain Clinic, Psychiatry Department,Physiotherapy,Rheumatology Clinic (OPDD),Reproductive Health,Revenue, Department,Sinothando Centre,Social Work Department,Soft Tissue Clinic (F4),Speech Therapy,Stomal TherapySurgical Clinic (OPDA)Thyroid Ultrasound Department,Urology (OPDB),Theatre,X-Ray Main,S-Block X-Ray,X-Ray Trauma",,571,,100,100,,5,7,,2200,,http://www.kznhealth.gov.za/addingtonhospital.htm,ZA-KZN,YES
King Dinuzulu Hospital,30.987036,-29.8235,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"ARV roll-out to TB patients,Casualty Department (24 hours),Dental Services,Dietetics,Family, Planning,General,Medical,General Surgical,HCT,Intensive Care
Laboratory,Maternity,Medical Laboratory Services,Medical outpatient department,Occupational therapy,Orthopaedics
Paediatric ward,Pharmacy,Physiotherapy,Psychiatric, Psychological services,Social welfare services,Social worker
Specialist Services,Speech therapy,TB clinic, Theatres, Tuberculosis,Voluntary testing and counselling,X-ray",,661,,98,98,,0,4,,,,http://www.kznhealth.gov.za/kingdinuzuluhospital1.htm,ZA-KZN,
Mahatma Gandhi Hospital,31.028852,-29.7183,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"24 Hour Casualty Dept of Health,Crisis Centre,Dietetics Department,Family Planning Clinic,HIV/AIDS Counseling, Inpatients wards,Laboratory Service,Medical Out Patients
NEO – Natal High Care,Obstetrics and Gynecology,Operating Theatre,Outpatients Department,Pediatrics Department, Pharmacy,Physiotherapy,Social Work Dept.X Ray Service – Telemedicine linked to Ultra sound.",,388,,70,70,,0,2,,,,http://www.kznhealth.gov.za/mahatmagandhihospital.htm,ZA-KZN,YES
Prince Mshiyeni Hospital,30.936625,-29.9548,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"District Services:24 hr Emergency Services,Eye Care,Family Medicine,HIV/AIDS Management,Mortuary Services,Mental Health,Obstetrics,Paediatrics,Pharmacy,Primary Health Care, Radiology, Rehabilitation, Surgery. Regional Services: AnaesthesiologyCasualty/Emergency Services, Gynaecology,CU/High Care,Internal Medicine,Obstetrics,Operating theatres,Ophthalmology,Orthopaedic Surgery,Psychiatry and Mental Health,Radiology and diagnostic, Specialised OPD,Surgery",,1160,,220,220,,9,11,,,,http://www.kznhealth.gov.za/princemshiyenihospital.htm,ZA-KZN,YES
RK Khan Hospital,30.886237,-29.9151,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Blood bank,C.A.T. Scanner,Casualty Dept/Trauma,Dental Facilities,Ear, Nose and Throat (E.N.T),Forensic Services, General Medical,General Surgery,Health Services,High Care
HIV/Aids Management,Intensive Care,Internal medicine,Maternity,Medical Laboratory Services,MOPD and casualty,Obstetrics and Gynaecology,Occupational Health Services,Operating Theatres,Ophthalmology
Orthopaedics,Paediatric Neonatology, Paediatrics,Pharmacy,Physiotherapy Services
Psychiatry and Mental Health,Radiology,Rehabilitation services",,543,,101,101,,13,5,,,,http://www.kznhealth.gov.za/rkkhanhospital.htm,ZA-KZN,
St Aidans Hospital,31.011035,-29.8507,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Pharmacy, Urology,Plastic surgery, Haemodialysis,
Peritoneal Dialyses and MMC, Social work services, occupational therapy,Physiotherapy and other services.
",,157,,75,75,,0,3,,240,,http://www.kznhealth.gov.za/staidanshospital.htm,ZA-KZN,
General Justice Gizenga Mpanza Regional Hospital,31.284698,-29.33544,District Hospital,KwaZuluNatal,iLembe District Municipality,KwaDukuza Local Municipality,YES,"Accident and emergency care,Ante-natal clinic,Arv clinic, Breast care clinic,CT Scan,Dermatology clinicDiabetic clinic,Diagnostic imaging,Dental clinic,ECG services ,Enchocardiography,Endocrine clinic,ENT clinic,General medical & surgical outpatients,HCT,Medical, surgical and padiatric inpatient care,Obsetrics and gynaecology,Occupational therapy,Operating, theatre,Opthalmology clinic,Othopaedic outpatient clinic,Peadiatric asthma/cardiac & neurology clinic, Psychiatric, Department, Physiotherapy,PMTCT,Psychology,Social Worker,Specialist medical clinic,Speech and hearing & audiology services,Thutuzela care centre (crisis centre),Urology",,500,,134,134,,7,4,,,,http://www.kznhealth.gov.za/gjgmrh.htm,ZA-KZN,YES
Queen Nandi Regional Hospital,31.897211,-28.7395,District Hospital,KwaZuluNatal,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,,Referral services for oncology as well as cardiology and other tertiary services.,,,,,,,,,,318,,http://www.kznhealth.gov.za/luwmhospital.htm,ZA-KZN,YES
Port Shepstone Hospital,30.450878,-30.7435,District Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni Local Municipality,,"Casualty Dept/Trauma,Dental Facilities,General Medical,General Surgical,High Care,Intensive Care,Maternity,Medical Laboratory Services,Theatres,Orthopaedic,Physiotherapy,Psychiatric,Specialist Services available,Trauma Unit,X-ray,Telemedicine",,336,,53,53,,8,4,,,,http://www.kznhealth.gov.za/portshepstonehospital.htm,ZA-KZN,YES
Edendale Hospital,30.332756,-29.6473,District Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,,"24hr Rape Crisis Centre (Thuthuzela Centre),Anaesthetics,ARV Rollout,Blood Bank services,Critical Care,Dental Services,Dietetics,District Level Services,HCT Site/ Nerve Centre,Internal Medicine,Laboratory Services (NHLS),Obstetrics & Gynaecology,Occupational Health,Occupational Therapy Services,Ophthalmology,Orthopaedics,Paediatric,Pharmacy,PMTCT,Primary Health Care,Psychiatry,Psychology,Physiotherapy,Radiology,Regional Level Service,Social Work,Speech & Audiology,Surgery,Termination of Pregnancy Facility,TB Management,Trauma,Youth Health Services",,879,,160,160,,12,12,,,,http://www.kznhealth.gov.za/edendalehospital.htm,ZA-KZN,YES
Ladysmith Hospital,29.766058,-28.5567,District Hospital,KwaZuluNatal,Uthukela District Municipality,Alfred Duma Local Municipality,YES,"Out patients:Accident and Emergency,CDC clinic,Clinical Psychology,Day Surgery,Dental Clinic,Gynae O.P.D,HIV/AIDS counsellors,Primary Health Care (Gate clinic),M.O.P.D,P.O.P.D,PEP, Crisis Centre,PMTCT,VCT. Clinical Department: Family Medicine, Orthopaedics, Psychiatry, Obstetrics and Gynaecology, Ear and Nose (ENT), Training of medical interns, General Surgery, Internal Medicine,Paediatrics, Anaesthetics, Ophthalmology, Intensive Care Unit.Allied Health Department: Radiology, Laboratory ,Telemedicine , Natal Blood Transfusion Service, Social Work Service, Occupational Therapy,Physiotherapy, Dietetics, Speech and Hearing therapy, Pharmaceutical, Orthopaedic workshop
",,448,,76,76,,2,4,,,,http://www.kznhealth.gov.za/ladysmith/ser.htm,ZA-KZN,YES
Helene Franz Hospital,29.11313,-23.2838,District Hospital,Limpopo,Capricorn District Municipality,Blouberg Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,63,,0,0,,7,2,,,,,ZA-LP,
Warrenton Hospital,24.858543,-28.106415,District Hospital,Northern Cape,Frances Baard District Municipality,Magareng Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,28,,0,0,,0,0,,,,,ZA-NC,
Dr Machupe Memorial Hospital,29.335,-24.3125,District Hospital,Limpopo,Capricorn District Municipality,Lepelle-Nkumpi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP,
Lebowakgomo Hospital,29.5285,-24.2956,District Hospital,Limpopo,Capricorn District Municipality,Lepelle-Nkumpi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,220,,72,72,,3,2,,,,,ZA-LP,
Zebediela Hospital,29.40445,-24.4818,District Hospital,Limpopo,Capricorn District Municipality,Lepelle-Nkumpi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,74,,10,10,,0,0,,,,,ZA-LP,
Botlokwa Hospital,29.74272,-23.4923,District Hospital,Limpopo,Capricorn District Municipality,Molemole Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,88,,12,12,,6,2,,,,,ZA-LP,
Seshego Hospital,29.396878,-23.8548,District Hospital,Limpopo,Capricorn District Municipality,Polokwane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,164,,60,60,,5,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/seshego_hospital_seshego_limpopo_south_africa,ZA-LP,
Clinix Phalaborwa Private,31.142517,-23.907766,Private Hospital,Limpopo,Mopani District Municipality,Ba-Phalaborwa Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,62,,17,,,,2,,,,,ZA-LP,
WF Knobel Hospital,29.12057,-23.634,District Hospital,Limpopo,Capricorn District Municipality,Polokwane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,243,,0,0,,0,1,,,,,ZA-LP,
Maphutha L Malatjie Hospital,31.03717,-23.9253,District Hospital,Limpopo,Mopani District Municipality,Ba-Phalaborwa Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,104,,0,0,,0,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/maphutha_l_malatji_hospital_phalaborwa_limpopo_south_africa,ZA-LP,
Nkhensani Hospital,30.69215,-23.3125,District Hospital,Limpopo,Mopani District Municipality,Greater Giyani Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,250,,36,36,,6,3,,,,,ZA-LP,
Kgapane Hospital,30.21861,-23.6477,District Hospital,Limpopo,Mopani District Municipality,Greater Letaba Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,262,,70,70,,2,3,,,,,ZA-LP,
Dr CN Phatudi Hospital,30.28098,-24.0265,District Hospital,Limpopo,Mopani District Municipality,Greater Tzaneen Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,62,,20,20,,1,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/dr_c_n_phatudi_hospital_polokwane_limpopo_south_africa,ZA-LP,YES
Van Velden Mem Hospital,30.16427,-23.8345,District Hospital,Limpopo,Mopani District Municipality,Greater Tzaneen Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,67,,25,25,,2,1,,,,,ZA-LP,
Sekororo Hospital,30.44767,-24.2515,District Hospital,Limpopo,Mopani District Municipality,Maruleng Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,208,,0,0,,6,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/sekororo_hospital_trichardt_limpopo_south_africa,ZA-LP,
Groblersdal Hospital,29.40387,-25.1762,District Hospital,Limpopo,Sekhukhune District Municipality,E Motsoaledi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,10,,10,10,,4,0,,,,,ZA-LP,
Polokwane Hospital,29.440567,-23.799443,Tertiary Hospital,Limpopo,Capricorn District Municipality,Polokwane Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,490,,100,100,,20,6,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/polokwane_mankweng_hospital_complex_pietersburg_polokwane_limpopo_south_africa,ZA-LP,YES
Matlala Hospital,29.50233,-24.8321,District Hospital,Limpopo,Sekhukhune District Municipality,Ephraim Mogale Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,60,,26,65,,7,1,,,,,ZA-LP,
Dilokong Hospital,30.17051,-24.6141,District Hospital,Limpopo,Sekhukhune District Municipality,Fetakgomo Tubatse Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,186,,46,72,,0,2,,,,,ZA-LP,
Mecklenburg Hospital,30.072501,-24.3853,District Hospital,Limpopo,Sekhukhune District Municipality,Fetakgomo Tubatse Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,124,,12,12,,7,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/mecklenburg_hospital_burgersfort_limpopo_south_africa,ZA-LP,
Jane Furse Hospital,29.86767,-24.7638,District Hospital,Limpopo,Sekhukhune District Municipality,Makhuduthamaga Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,200,,36,36,,16,1,,,,,ZA-LP,
Malamulele Hospital,30.69669,-22.9969,District Hospital,Limpopo,Vhembe District Municipality,Collins Chabane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,195,,40,40,,7,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/malamulele_hospital_malamulele_limpopo_south_africa,ZA-LP,
Elim Hospital,30.05617,-23.154,District Hospital,Limpopo,Vhembe District Municipality,Makhado Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,375,,40,40,,5,4,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/elim_hospital_makhado_limpopo_south_africa,ZA-LP,
Louis Trichardt Hospital,29.90614,-23.0291,District Hospital,Limpopo,Vhembe District Municipality,Makhado Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,52,,12,12,,2,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/louis_trichardt_memorial_hospital_louis_trichardt_limpopo_south_africa,ZA-LP,
Siloam Hospital,30.19422,-22.8994,District Hospital,Limpopo,Vhembe District Municipality,Makhado Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,350,,35,35,,10,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/siloam_hospital_nzehlele_limpopo_south_africa,ZA-LP,
Messina Hospital,30.04285,-22.3416,District Hospital,Limpopo,Vhembe District Municipality,Musina Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,80,,20,20,,6,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/messina_hospital_messina_musina_limpopo_south_africa,ZA-LP,
Donald Fraser Hospital,30.479815,-22.8886,District Hospital,Limpopo,Vhembe District Municipality,Thulamela Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,300,,28,28,,13,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/donald_fraser_hospital_vhufuli_limpopo_south_africa,ZA-LP,YES
Warmbaths Hospital,28.28873,-24.8859,District Hospital,Limpopo,Waterberg District Municipality,Bela-Bela Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,135,,16,16,,0,3,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/warmbaths_hospital_warmbaths_limpopo_south_africa,ZA-LP,YES
Ellisras Hospital,27.70333,-23.678,District Hospital,Limpopo,Waterberg District Municipality,Lephalale Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,120,,20,20,,4,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/ellisras_hospital_lephalale_limpopo_south_africa,ZA-LP,
Witpoort Hospital,28.01118,-23.3344,District Hospital,Limpopo,Waterberg District Municipality,Lephalale Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,59,,4,4,,4,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_limpopo_south_africa/witpoort_hospital_lephalale_limpopo_south_africa,ZA-LP,
G Masebe Hospital,28.692892,-23.8753,District Hospital,Limpopo,Waterberg District Municipality,Mogalakwena Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP,
