hospital_id,name,ceo,postal_address,physical_address,contact_number,email,
266,HEALth-WorX Randridge Med Centre,,,"Shop 221, Randridge Mall, Cnr John Voster and Kayburn Avenue, Randpark Ridge, Randburg, 2169",,,
267,Helen Joseph Hospital,,,"Perth Road, Auckland Park",,,
268,Life Riverfield Lodge Hospital,,,"34 Southernwoods Road, Nietgedacht, Randburg",,,
269,Mediclinic Sandton Hospital,,,,,,
270,Mediclinic Wits D Gordon Med Centre,,,21 Eton Road,,,
271,Netcare Milpark Hospital,,,,,,
272,Netcare Rehab Hospital,,,2 Bunting Road,,,
273,Netcare Rosebank Hospital,,,,,,
274,Netcare Sports Med and Ortho Hospital,,,,,,
275,NHN Akeso Crescent Randburg Hospital,,,,,,
276,NHN Johannesburg Eye Hospital,,,Beyers Naude Drive,,,
277,NHN Northcliff Medw Hospital,,,Cnr Beyers Naude Drive and Waugh Avenue,,,
278,Parkmore Park Med Centre,,,"127 10th Street, Parkmore, Sandton, 2196",,,
279,Rahima Moosa Hospital,,,"Cnr Oudsthoorn and Fuel Street, Coronationville",,,
280,Rosebank Med Dental Centre,,,"11 Sturdee Avenue, Rosebank, Johannesburg, 2196",,,
281,Tara H Moross Centre Hospital,,,"50 Saxon Road, Hurlingham",,,
282,Clinix Dr SK Matseke Mem Hospital,,,,,,
283,Clinix Tshepo-Themba Prv Hospital,,,"Braam Fisher Ext Roads, Meadowlands Zone 9, Soweto",,,
284,Life Flora Hospital,,,"William Nicholl Road, Roodepoort",,,
285,Lifemed Hospital,,,Perde Avenue,,,
286,Life Wilgeheuwel Hospital,,,,,,
287,Mayo Hospital,,,,,,
288,Medicare Boskruin Med Centre,,,,,,
289,Netcare Constantia Day Clinic,,,374 Ontdekkers Road,,,
290,Netcare Olivedale Hospital,,,"President Fouche Road, Randburg",,,
291,NHN Icare Wilgeheuwel Med Centre,,,,,,
292,Advanced Medgate Day Hospital,,,"Cnr Kingfisher Street and Pheasant Street, Roodepoort",,,
293,Bheki Mlangeni Dist Hospital,,,"2190 Bolani Road, Jabulani",,,
294,C Hurwitz TB Hospital,,,,,,
295,Chris Hani Hospital,,,"126 Chris Hani Road, Soweto",,,
296,Lesedi Prv Hospital,,,"Old Potchefstroom Road, Diepkloof Zone 6, Soweto",,,
297,Life Poortview Hospital,,,"18 Malcolm Road, Poortview, Roodepoort",,,
298,Meredale Med Centre,,,"Cnr Ino Street and Main Road, Diepkloof 319-lq, Johannesburg South, 1862",,,
299,Busamed Modderfontein Prv Hospital,,,"4 Cransley Crescent, Long Lake, Sandton, 2090",,,
300,Edenvale Hospital,,,Modderfontein Road Edenvale,,,
301,Life Carstenhof Hospital,,,21 Dane Road,,,
302,Lonehill Med Centre,,,"17 Aston Road, Lone Hill, Sandton, 2191",,,
303,Mediclinic Morningside Hospital,,,Cnr Rivonia and Hill Roads,,,
304,Midrand Med Centre,,,"Cnr Church and Market Street, Halfway House, Midrand",,,
305,Netcare Linksfield Hospital,,,,,,
306,Netcare Linkwood Hospital,,,141 16th Street,,,
307,NHN Gynae Endo Med Centre,,,159 Rivonia Road,,,
308,NHN Icare Northriding Med Centre,,,"0A New Market Road, Hoogland, Randburg, 2169",,,
309,NHN Icare Sandton Day Hospital,,,200 Rivonia Road,,,
310,Prime Cure Bagleyston Day Clinic,,,400 Thelma Crescent,,,
311,Sizwe Tropical Hospital,,,"Cnr Modderfontein and Club Streets, Sandringham",,,
312,Argyle Hospital,,,,,,
313,Charlotte Maxeke Hospital,,,"Cnr Jubilee Street and York Streets, Parktown",,,
314,Clinix SS Morewa Mem Hospital,,,"Ellof Street, Marshalltown, Johannesburg",,,
315,Fordsburg Hospital,,,,,,
316,Life Brenthurst Hospital,,,,,,
317,Netcare Garden City Hospital,,,"35 Bartlett Road, Mayfair West, Johannesburg",,,
318,Netcare Mulbarton Hospital,,,,,,
319,Netcare Park Lane Hospital,,,,,,
320,Netcare Rand Hospital,,,,,,
321,NHN Akeso Parktown Hospital,,,6 Junction Avenue,,,
322,South Rand Hospital,,,"Frairs Geel Road, The Hill",,,
323,Kliptown Med Centre,,,"9 Union Street, Kliptown, Johannesburg, 1811",,,
324,NHN Lenmed Ahmed Katrada Prv Hospital,Rodney Naicker,,"K43 Highway, Lenasia Ext 8, Johannesburg",,,
325,NHN Lenmed Daxina Hospital,Rodney Naicker,,"1682 Impala Street Extension South, 1829",,,
326,Botshilu Hospital,,,Soshanguve,,,
327,Dr G Mukhari Hospital,,,"3111 Setlogelo Drive, Ga-Rankuwa",,,
328,Mediclinic Legae Hospital,,,8560 Unit M Off Lucas Mangope Highway,,,
329,Netcare Akasia Hospital,,,Cnr Heinrich Avenue and Brits Road,,,
330,Odi Hospital,,,"Klipgat Road, Mabopane",,,
331,Wisani Med Centre Hospital,,,,,,
332,Jubilee Hospital,,,"92 Jubilee Road, Hammanskraal",,,
333,Netcare Montana Hospital,,,"Cnr Dr Swanepoel and Rooibos Street, Montana Park",,,
334,NHN Icare Wonderboom Med Centre,,,Cnr Voortrekker and Lavender Roads,,,
335,Astrid Hospital,,,"578 Schoeman Street, Arcadia, Pretoria, 0083",,,
336,Curamed Hospital,,,"578 Schoeman Street, Arcadia, Pretoria, 0083",,,
337,Kalafong Hospital,,,"205 Klipspringer Street, Atteridgeville",,,
338,Life Brooklyn Day Hospital,,,Cnr Jan Shoba and Olivier Street,,,
339,Life Eugene Marais Hospital,,,"Cnr Fred Nicholson and 5th Avenue, Les Marais",,,
340,Life Groenkloof Hospital,,,,,,
341,Louis Pasteur Hospital,,,"380 Francis Baard Street, Pretoria",,,
342,Pretoria Gynae Hospital,,,"132 Celliers Street, Sunnyside, Pretoria, 0002",,,
343,Mediclinic Heart Hospital,,,"551 Park Street, Pretoria, 0002",,,
344,Mediclinic Medforum Hospital,,,"412 Schoeman Street, Sunnyside",,,
345,Mediclinic Muelmed Hospital,,,,,,
346,Netcare Bougainville Hospital,,,Cnr Jennings and Redelinghuys Streets,,,
347,Netcare Femina Hospital,,,"460 Belvedere Street, Arcadia",,,
348,Netcare Jakaranda Hospital,,,,,,
349,Netcare Moot Hospital,,,,,,
350,NHN Urolocare Hospital,,,1164 Pretorius Street,,,
351,Peermed Pretoria Health Centre,,,"Shop 2, 265 Madiba Street (Cnr Queen Street), Pretoria CBD",,,
352,Pretoria Eye Inst Hospital,,,,,,
353,Pretoria Urolog Hospital,,,Pretorius Street E,,,
354,Pretoria West Hospital,,,"380 Sytze Wierda Street, Philip Nel Park",,,
355,SAMHS 1 Military Hospital,,,"Hospital Road, Pretoria",,,
356,Steve Biko Academic Hospital,,,"Cnr Dr Savage and Voortrekker Road, Pretoria Central",,,
357,Tshepong TB Hospital,,,Klipspringer Street,,,
358,Tshwane Dist Hospital,,,"Cnr Dr Savage and Voortrekker Road, Pretoria Central",,,
359,Tshwane Rehab Hospital,,,"Cnr Dr Savage and Soutspanberg Roads, Pretoria Central",,,
360,University of Pta Med Centre,,,"Dr Savage Road, Prinshof",,,
361,Weskoppies Hospital,,,"Ketjen Street, Pretoria West",,,
362,Zuid Afrikaans Hospital,,,,,,
363,Erasmia Med Centre,,,"365 Willem Erasmus Street, Esrasmia",,,
364,HEALth-WorX Centurion Med Centre,,,"Shop 334, Centurion Mall, Heuwel Road, Zwartkop, Centurion, 0157",,,
365,HEALth-WorX Raslouw Med Centre,,,"Shop 20, Raslouw Lifestyle Centre, Cnr Hendrik Verwoerd Drive and Rooihuiskraal Road, Raslouw, Centurion, 0157",,,
366,Medipark 24 Med Centre,,,"162 Panorama Road, Rooihuiskraal, Centurion, 0157",,,
367,Netcare Unitas Hospital,,,,,,
368,NHN Centurion Eye Hospital,,,223 Clifton Avenue,,,
369,NHN Icare Irene Day Hospital,,,Cnr John Vorster Drive and Karee Street,,,
370,NHN Icare Irene Med Centre,,,Cnr John Vorster Drive and Karee Street,,,
371,NHN Icare Irene Sub-Acute Hospital,,,Cnr John Vorster Drive and Karee Street,,,
372,NHN Icare Mall@55 Med Dental Centre,,,"Monavoni AH, Centurion, 0157",,,
373,NHN Vista Hospital,,,,,,
374,Clinix Cullinan Prv Hospital,,,,,,
375,Cullinan Rehab Hospital,,,"Zonderwater Road, Cullinan",,,
376,Denmar Hospital,,,,,,
377,HEALth-WorX Montana Med Centre,,,"Shop 56, Montana Crossing, Cnr Sefako Makgatho Drive and Dr Swanepoel Road, Montana, 0182",,,
378,Kloof Hospital,,,"Room 111, Jochemus Street, Erasmus Kloof, Pretoria",,,
379,Life Faerie Glen Hospital,,,"Atterbury Road, Faerie Glen, Pretoria, 0043",,,
380,Life Wilgers Hospital,,,"Denneboom Road, Die wilgers Ext 14, Pretoria",,,
381,Mamelodi Hospital,,,"19472 Serapeng Street, Tsamaya Road, Mamelodi East",,,
382,Mamelodi Med Centre,,,"Tsamaya Road and Hinterland Avenue, Mamelodi",,,
383,Mediclinic Kloof Hospital,,,"511 Jochemus Street, Erasmuskloof Ext 3, 0181",,,
384,Netcare Pretoria E Hospital,,,"Cnr Netcare and Garsfontein Drive, Moreleta Park, Pretoria",,,
385,NHN Intercare Glenfair Med Centre,,,,,,
386,NHN Icare Hazeldean Day Hospital,,,Silver Lakes Road,,,
387,NHN Icare Hazeldean Sub-Acute Hospital,,,Silver Lakes Road,,,
388,NHN Icare Silver Lake Med Centre,,,,,,
389,NHN Icare Woodhill Med Centre,,,,,,
390,Phelang Prv Hospital,,,"19489 Molepo Street, Pretoria",,,
391,SAMCOR Med Centre,,,"Simon Vermooten Road, Silverton",,,
392,Bronkhorstspruit Hospital,,,"Church Street, Riamar Park, Bronkhorstspruit",,,
393,Life Dalview Hospital,,,,,,
394,Optiklin Eye Hospital,,,,,,
395,Pholosong Hospital,,,"Ndaba Street, Tsakane",,,
396,Far East Rand Hospital,,,"Hospital Street, New State Area, Springs",,,
397,Life Springs Parkland Hospital,,,Artemis Road,,,
398,Life St Mary's Prv Hospital,,,,,,
399,Netcare N17 Prv Hospital,,,,,,
400,Harmelia Prv Hospital,,,,,,
401,Kloof Med Centre,,,,,,
402,Mediclinic Midstream Hospital,,,1 Madeleine Street,,,
403,NHN Arwyp Med Centre Hospital,,,20 Pine Avenue,,,
404,NHN Icare Glen Marais Med Centre,,,,,,
405,NHN Lenmed Zamokuhle Prv Hospital,Dr Morgan Mkhatshwa,,"128 Flint Mazibuko Street, Hospital View, Tembisa",,,
406,Peermed Kempton Park Health Centre,,,"Shop 49, Kempton Square (Pick 'n Pay Centre), Cnr Voortrekker and Monument Roads, Kempton Park",,,
407,Tembisa Hospital,,,"Cnr Flint Mazibuko and Rev Namane Drive, Tembisa North",,,
408,Dinwiddie Med Centre,,,"95 Black Reef Road, Dinwiddie, Germiston",,,
409,East Rand TB Hospital,,,,,,
410,Glenairs Med Centre,,,"Cnr Bellairs Drive and Allen Road, Glenvista ext 3, Johannesburg, 2091",,,
411,HEALth-WorX Boksburg Med Centre,,,"Shop 14, Eastrand Retail Park, Northrand Road, Eveleigh, Boksburg, 1462",,,
412,Life Bedford Gardens Hospital,,,,,,
413,Life Glynnview Hospital,,,,,,
414,Life The Glynnwood Hospital,,,"Harrison Street, Benoni, 1501",,,
415,Netcare Linmed Hospital,,,"3 Hull Road, Rynefield, Benoni",,,
416,Netcare Optiklin Eye Hospital,,,104 Klein Street,,,
417,Netcare Sunward Park Hospital,,,"Cnr Kingfisher and Aquarius Road, Sunward Park, 1470",,,
418,NHN Care Cure Rynmed Hospital,,,1st Street,,,
419,NHN Lakeview Hospital,,,Mowbray Avenue,,,
420,NHN Sunshine Hospital,,,"1522 Soma Street, Actonville, Benoni, 1501",,,
421,Palm Springs Med Centre,,,"42 Van Wyk Drive, Parkrand, Boksburg, 1459",,,
422,Sunward Park Med Centre,,,"Cnr Dias and President Kruger Street, Westonaria, 1779",,,
423,Tambo Memorial Hospital,,,"Railway Road, Boksburg",,,
424,Bertha Gxowa Hospital,,,"Cnr Angus and Joubert Streets, Germiston",,,
425,Clinix Botshelong-Empilweni Prv Hospital,,,"Sam Sekoati Avenue, Vosloorus",,,
426,Knights Chest Hospital,,,,,,
427,Life Roseacres Hospital,,,"Cnr Castor and St Joseph Streets, Roseacres",,,
428,Netcare Clinton Hospital,,,"62 Clinton Road, New Redruth, Alberton",,,
429,Netcare Union Hospital,,,47 Clinton Road,,,
430,NHN Akeso Alberton Hospital,,,15 Clinton Road,,,
431,Peermed Germiston Health Centre,,,"185 Meyer Street, Cnr Jack Street, Germiston, Johannesburg",,,
432,Philani Med Centre,,,,,,
433,Thelle Mogoerane Reg Hospital,,,"10269 Nguza Street, Katlehong Ext 14, Vosloorus, 1486",,,
434,Clinix Naledi-Nkanyezi Prv Hospital,,,"Moshoeshoe Street, Sebokeng",,,
435,Cormed Hospital,,,Pasteur Boulevard,,,
436,Hlulani Med Centre,,,,,,
437,Kopanong Hospital,,,"Casino Avenue, Duncanville",,,
438,Lakeview Med Centre,,,,,,
439,Mediclinic Emfuleni Hospital,,,"6 Jan van Riebeeck Boulevard, Town Centre, Vanderbijlpark",,,
440,Mediclinic Vereeniging Hospital,,,"Cnr Joubert and Hofmeyer Streets, Vereeniging",,,
441,Midvaal Prv Hospital,,,"Cnr Square and Nile Drive, Three Rivers, Vereeniging",,,
442,NHN Care Cure Vereen Hospital,,,"Cnr Joubert Street and Grey Avenue, Vereeniging",,,
443,Sebokeng Hospital,,,"Moshoeshoe Street, Sebokeng",,,
444,Heidelberg Hospital,,,"Hospital Street, Heidelberg",,,
445,Life Suikerbosrand Hospital,,,"Cnr Mare and HF Vervoerd Street, Heidelberg, 1441",,,
446,Baneng Psych Hospital,,,,,,
447,Carletonville Hospital,,,"Cnr Falcon and Annan Road, Carletonville",,,
448,Fochville Hospital,,,"13 Third Street, Fochville",,,
449,NHN Fountain Prv Hospital,,,"R500 Annan Road, Carletonville, 2499",,,
450,Western Deep Hospital,,,"Western Deep Levels Anglo Gold Mine, Carletonville",,,
451,Dr Y Dadoo Hospital,,,"Cnr Memorial and Hospital Road, Krugersdorp",,,
452,HEALth-WorX Noordheuwel Med Centre,,,"Shop 4, Valley View Retail Centre, Cnr Robert Broom Drive and Van Oordt Street, Noordheuwel Ext 17, Krugersdorp",,,
453,Leratong Hospital,,,"Adcock Street, Chamdore",,,
454,Netcare Bell Street Hospital,,,Cnr Bell Drive and Shannon Road,,,
455,Netcare Krugersdorp Hospital,,,"9 Burger Street, Krugersdrorp",,,
456,Netcare Pinehaven Hospital,,,"1 Gateway Road, Krugersdorp",,,
457,Sterkfontein Hospital,,,"Sterkfontein Road, Krugersdorp",,,
458,Life Robinson Hospital,,,,,,
459,Medicare Greenhills Med Centre,,,Kameel Street,,,
460,NHN Lenmed Randfontein Prv Hospital,Leoni Beaurain,,"Lister Road, Lower Ward Street Extension, Randfontein, 1759",,,
461,S Albert Med Centre,,,,,,
462,Wesmed Med Centre,,,"Davies, Westonaria, 1780",,,
463,Niemeyer Mem Hospital,,,Kantoor Street,,,
464,Mediclinic Newcastle Day Hospital,Mr FG Meiring,,"Cnr Bird and Hospital Roads, Newcastle",,,
465,Mediclinic Newcastle Hospital,Mr FG Miering,,"Cnr Bird and Hospital Roads, Newcastle",,,
466,Ahmed Al-Kadi Prv Hospital,Ahmed Docrat,,"490 King Cetshwayo Highway, Mayville, 4091",,,
467,Akeso Umhlanga Hospital,,,"16 Chestnut Crescent, Prestondale, Umhlanga, 4319",,,
468,Alliance Care Umhlanga Hospital,,,"32-34 Columbine Place, Glen Anil, Durban, 4051",,,
469,Bluff Centre Hospital,,,"54 Lighthouse Road, Blufff, 4052",,,
470,Broadwalk Med Centre,,,"454 Anton Lebede Street, Durban Central, Durban, 4001",,,
471,Busamed Gateway Hospital,,,"36-38 Aurora Drive, Umhlanga Rocks, Durban North",,,
472,Busamed Hillcrest Prv Hospital,,,"471 Kassier Road, Assagay, Outer West Durban, 3610",,,
473,Capital Oncology and General Hospital,,,"44-46 Charles Henwood Avenue, Westridge, 4091",,,
474,C James TB Hospital,,,"6 Soupukane Road, off Old South Coast Main Road",,,
475,Chatsworth Cheshire Rehab Centre,,,,,,
476,City Hospital,,,"83 Lorne Street, Durban",,,
477,Don McKenzie TB Hospital,,,10 Zulu Reserve Road,,,
478,DBN Eye Hospital,,,"38 South Road, Essenwood, Berea, 4001",,,
479,Durban Oncology Centre,,,"99 Jan Smuts Highway, Mayville, 4091",,,
480,Ekuhlengeni Hospital,,,"Old South Coast Road, Umbongintwini",,,
481,FOSA TB Hospital,,,"60 Fosa Road, Steelcastle, Newlands West, 4037",,,
482,Fountain Med Centre,,,"8A Murray Smith Road, Winklespruit, 4126",,,
483,Highway Sub-Acute,,,,,,
484,Humana Health Care Hospital,,,,,,
485,IALCH Central Hospital,,,800 Bellair Road,,,
486,IMA Hospital,,,"141 Postum Road, Malukazi, Durban, 4066",,,
487,JMH Ascot Park Hospital,,,"3 Ascot Street, Greyville, Durban, 4023",,,
488,JMH City Hospital,,,"83 Ismail C Meer Street, Durban",,,
489,JMH Durdoc Hospital,,,"480 Anton Lembede Street, Durban Central, Durban, 4001",,,
490,JMH Isipingo Hospital,,,"162 Phila Ndwandwe Road, Isipingo Rail, Isipingo, 4110",,,
491,King Dinuzulu Hospital,,,67 RD Naidu Drive,,,
492,KwaZulu-Natal Child Hospital,,,,,,
493,Kynoch Hospital,,,,,,
494,Life Chatsmed Garden Hospital,,,"80 Woodhurst Drive, Chatsworth",,,
495,Life Entabeni Hospital,,,148 Mazisi Kunene Road,,,
496,Life Mt Edgecombe Hospital,,,163-179 Redberry Road,,,
497,Life The Crompton Hospital,,,102 Crompton Street,,,
498,Life Westville Hospital,,,7 Spine Road,,,
499,M Gandhi Hospital,,,100 Phoenix Highway,,,
500,Malvern Centre Hospital,,,,,,
501,McCords Hospital,,,,,,
502,Mediclinic Victoria Hospital,,,"35 High Street, Tongaat",,,
503,Medicross Procare Sub-Acute Hospital,Ms G Mulcahy,,"651 Kingsway, Amanzimtoti, Durban",,,
504,Netcare Kingsway Hospital,,,607 Andrew Zondo Road,,,
505,Netcare Parklands Hospital,,,75 Hopelands Road,,,
506,Netcare St Augustine's Hospital,,,107 JB Marks Road,,,
507,Netcare Umhlanga Hospital,,,323 Umhlanga Rocks Drive,,,
508,NHN Capital Haemato Hospital,,,,,,
509,NHN Healing Hills Hospital,,,,,,
510,NHN Icare Amanzimtoti Med Centre,,,24 Prince Street,,,
511,NHN Lenmed eThekwini Heart Hospital,Niresh Bechan,,"11 Riverhorse Drive, Riverhorse Valley Business Estate, Queen Nandi Drive, Durban",,,
512,NHN Lenmed Shifa Hospital,Ebrahim Asmal,,"482 Randles Road, Durban, 4091",,,
513,NHN M-Care Umhlanga Hospital,,,323 Umhlanga Rocks Drive,,,
514,Oral and Dental Institute,,,,,,
515,RK Khan Hospital,,,"RK Khan Circle, Westcliffe, Chatsworth, 4030",,,
516,Saiccor Hospital,,,,,,
517,St Aidans Hospital,,,33 Ml Sultan Road,,,
518,St Mary's Hospital (Mar),,,"1 Hospital Road, Mariannhill",,,
519,Wentworth Hospital,,,1 Boston Road,,,
520,Westridge Day Surg Centre,,,,,,
521,NHN Riverview Clinic Hospital,,,Main Road,,,
522,St Apollinaris Hospital,,,"Centocon Mission, Creighton",,,
523,EG Usher Mem Hospital,,,Cnr Elliot,,,
524,Netcare Kokstad Prv Hospital,,,51 Barker Street,,,
525,St Margaret's TB MDR Hospital,,,Private Bag X517,,,
526,GJGM Hospital,,,"23A King Shaka St, Stanger, Durban, 4450",,,
527,KwaDukuza Private Hospital,,,"4449 Theunissen Road, KwaDukuza, 4449",,,
528,Netcare Alberlito Hospital,,,"Kirsty Close Drive, Ballito",,,
529,Amatikulu Chronic Home Hospital,,,,,,
530,JMH Richards Bay Med Institute,,,,,,
531,Life Empangeni Prv Hospital,,,Cnr Biyla and Ukula Streets,,,
532,Melomed Rich Bay Hospital,,,"John Ross Eco Junction, Cnr of N2 and MR 496 (John Ross Highway), Richards Bay, 3900",,,
533,Netcare The Bay Hospital,,,6 Krugerrand Road,,,
534,Queen Nandi Regional Hospital,,,29 Union Street,,,
535,Richards Bay Med Institute Day Hospital,Mr M Dlamini,,"1 Lira Link Road, Richards Bay",,,
536,Ekhombe Hospital,,,Qhudeni Road,,,
537,C Booth Hospital,,,Kwakhoza,,,
538,D Farrell TB Hospital,,,Portion of Mayor Farm,,,
539,Hibiscus Day Surgical Hospital,Mr Richard Mills,,"Bazley Street, Port Shepstone, 4240",,,
540,Netcare Margate Hospital,,,24 Wartski Drive,,,
541,NHN Hibiscus Hospital,,,George Street,,,
542,NHN Shelly Beach Day Hospital,,,Izotsha Road,,,
543,Shelly Beach Priv Hospital,Noeleen Phillips,,"PO Box, Izotsha, 4242",,,
544,Shelly Beach Sub-Acute Hospital,Noeleen Phillips,,"PO Box, Izotsha, 4242",,,
545,GJ Crooke's Hospital,,,1 Hospital Road,,,
546,St Andrew's Hospital,,,14 Moodie Street,,,
547,Akeso PMB Hospital,,,"216 Woodhouse Road, Scottsville, Pietermaritzburg, 3200",,,
548,Doris Goodwin TB Hospital,,,Main Edendale Road,,,
549,Eden Gardens Priv Hospitalital,Mr Kobus Nel,,"100 Archie Gumede Drive, Mason Mill, PMB, 3200",,,
550,Mediclinic Pmb Hospital,,,90 Payn Street,,,
551,Mildlands Med Centre,,,,,,
552,Netcare St Anne's Hospital,,,331 Burger Street,,,
553,NHN Daymed Priv Hospital,,,595 Chota Motala,,,
554,PMB Eye Hospital,,,,,,
555,Rainbow Hospital,,,,,,
556,Royal Rehab Hospital,,,,,,
557,St Mary's Prv Hospital,,,,,,
558,Townhill Hospital,,,Hyslop Road,,,
559,Wembley House Hospital,,,,,,
560,Richmond Chest Hospital,,,"Chilley Road, Richmond, 3780",,,
561,Life Hilton Prv Hospital,,,2 Monzali Drive,,,
562,Mediclinic Howick Hospital,,,"107 Main Street, Howick, 3290",,,
563,NHN Oatlands Care Med Centre,,,52 Fraser Street,,,
564,Oatlands Care Centre,,,,,,
565,Umgeni Waterfall Hospital,,,Old Main Road,,,
566,Appelsbosch Hospital,,,"R44 Fawnlease Road, Ozwathini",,,
567,Talana Step Down Hospital,,,,,,
568,Church of Scotland Hospital,,,"Main Road, Dundee",,,
569,C Johnson Mem Hospital,,,Lot 92 Hlubi Street,,,
570,Greytown Priv Hospital,,,,,,
571,Greytown TB Hospital,,,Erskine Street,,,
572,Essen Med Centre,Kiran Ramdin,,"12/16 Malcom Road, Ladysmith, 3370",,,
573,Ladysmith Sub-Acute Hospital,,,,,,
574,NHN Lenmed La Verna Hospital,Jan Scheepers,,"1 Convent Road, Ladysmith, 3370",,,
575,AbaQulusi Priv Hospital,Mr T Mlotshwa,,"27 Utrecht Street, Vryheid, 3100",,,
576,Mountain View Hospital,,,,,,
577,Siloah Lutheran Hospital,,,,,,
578,Longridge Colliery Mine Hospital,,,,,,
579,NHN Nongoma Private Hospital,,,199 Main Street,,,
580,St Francis Hospital,,,Mashona Road,,,
581,Itshelejuba Hospital,,,"N2 Road, Pongola, 3170",,,
582,NHN Pongola Hospital,,,82 Hans Dons Street,,,
583,Helene Franz Hospital,,,,,,
584,Dr Machupe Mem Hospital,,,,,,
585,Lebowakgomo Hospital,,,,,,
586,Lebowakgomo Medleb Hospital,,,R579 Road Next to Parliament,,,
587,Thabamoopo Hospital,,,"Zone A, Lebowakgomo",,,
588,Zebediela Hospital,,,,,,
589,Botlokwa Hospital,,,,,,
590,Mankweng Hospital,,,Hout-bosh Road,,,
591,Mediclinic Limpopo Hospital,,,53 Plein Street,,,
592,Netcare Pholoso Hospital,Fabion Bennett (Hospital General Manager),,"Cnr Grobler Street and Eland Avenue, Savannah, Polokwane, 0699",,,
593,Pietersburg Hospital,,,Hospital Street,,,
594,Seshego Hospital,,,Bookele Street,,,
595,St Joseph's Hospital,,,,,,
596,WF Knobel Hospital,,,,,,
597,ML Malatjie Hospital,,,3517 B Maphutha Drive,,,
598,Evuxakeni Hospital,,,"Site 2177, Section A",,,
599,Nkhensani Hospital,,,Giyani Indusrial Site,,,
600,Kgapane Hospital,,,"Main Road, next to Modjadji Plaza",,,
601,Dr CN Phatudi Hospital,,,Makhubiding Village,,,
602,Letaba Hospital,,,Ludeburg Tarental Road,,,
603,Life Esidimeni Shiluvana Hospital,,,"Ezekhaya Farm, Unnamed Road, Shiluvane, 0873",,,
604,Mediclinic Tzaneen Hospital,,,Wolkberg Avenue R71,,,
605,Van Velden Mem Hospital,,,"Cnr 3rd Avenue and Claude Wheatley Road, Tzaneen",,,
606,Sekororo Hospital,,,,,,
607,Groblersdal Hospital,,,Voortrekker Road,,,
608,Philadelphia Hospital,,,Dennilton Road,,,
609,Matlala Hospital,,,Tsinyane Village,,,
610,Dilokong Hospital,,,"Cnr and Modikwa Road, Driekop, 1129",,,
611,Mecklenburg Hospital,,,R37 Moroke Next To Police Station,,,
612,Jane Furse Hospital,,,,,,
613,St Rita's Hospital,,,R509,,,
614,Malamulele Hospital,,,"1 Main Street, Malamulele",,,
615,Elim Hospital,,,"Giyani Road, Waterval",,,
616,L Trichardt Hospital,,,Hospital Street,,,
617,NHN Quality Care Prv Hospital,,,83 Grobler Street,,,
618,NHN Zoutpansberg Prv Hospital,,,Joubert Street,,,
619,Siloam Hospital,,,,,,
620,Messina Hospital,,,"N1 Building, Cnr Calderwood Avenue and Whyte Road, Musina",,,
621,D Fraser Hospital,,,Vhufuli,,,
622,Hayani Hospital,,,Sibasa Mutale Road,,,
623,Tshilidzini Hospital,,,Punda Maria Road R524,,,
624,NHN St Vincent's Hospital,,,Quagga Road,,,
625,Warmbaths Hospital,,,Chris Hani Drive,,,
626,Ellisras Hospital,,,Cnr Chris Hani and Ngoako Ramatlhodi Streets,,,
627,Mediclinic Lephalale Hospital,,,Cnr Douwater and Joe Slovo Streets,,,
628,Witpoort Hospital,,,D3110 Sekeka Shongane Road,,,
629,Anglo Platinum Mine Hospital,,,,,,
630,G Masebe Hospital,,,,,,
631,Mokopane Hospital,,,"Dudu Madisha Drive, Mahwelereng",,,
632,Voortrekker Hospital,,,,,,
633,FH O MDR Hospital,,,54 Thabo Mbeki Drive,,,
634,FH Odendaal Hospital,,,Alf Nakaleng,,,
635,Mediclinic Thabazimbi Hospital,,,"1 Hospital Street, Thabazimbi",,,
636,Platinum Health Amandelbult Hospital,Dr Vincent Ramaroka,,"1 Hospital Street, Tumela Mine, Chromite, 0362",,,
637,Platinum Health Setaria Mine Hospital,,,"Setaria, 0383",,,
638,Platinum Health Thabazimbi Med Centre,Dr Robert Hearne,,"9 Watsonia Street, Thabazimbi",,,
639,Platinum Health Union Mine Hospital,Dr Joseph Shikwane,,"Hospital Street, Swartklip, 0370",,,
640,Swartklip Mine Hospital,,,,,,
641,Thabazimbi Hospital,,,"1 Hospital Street, Thabazimbi",,,
642,Mapulaneng Hospital,,,"1 Masana Trust, Graskop Road",,,
643,Matikwana Hospital,,,,,,
644,Tintswalo Hospital,,,Parallel Railway Road,,,
645,Barberton Hospital,,,"1 Hospital Road, Barberton",,,
646,Barberton TB Hospital,,,1 Aerodrome Road,,,
647,Bongani TB Hospital,,,,,,
648,Busamed Lowveld Prv Hospital,,,"10 Rothery Street, Nelspruit, 1200",,,
649,Eureka Barberton Hospital,,,Cnr Sheba and Havelock Street,,,
650,Mediclinic Nelspruit Hospital,,,"1 Louise Street, Sonheuwel, Nelspruit, 1200",,,
651,NHN Kiaat Prv Hospital,,,R40 between Nelspruit and White River,,,
652,NHN M-Care Nelspruit Hospital,,,Orange Street,,,
653,Rob Ferreira Hospital,,,Madiba Drive Pet Retief Street,,,
654,Themba Hospital,,,1213 Kabokweni Main Road,,,
655,Shongwe Hospital,,,"Jeppes Rief Road, Shongwe, Malelane, 1331",,,
